CASE,POPULATION13,BCPUBLICSERVICE13,COMPLETED13,OVERALLSCOPE13,POPULATION15,BCPUBLICSERVICE15,COMPLETED15,OVERALLSCOPE15,FRINGE_FLAG13,ORGID13,ORGANIZATION13,Engagement_13,Commitment_13,Job_Satisfaction_13,Org_Satisfaction_13,ENG_STATE_13,FRINGE_FLAG15,ORGID15,ORGANIZATION15,Engagement_15,Commitment_15,Job_Satisfaction_15,Org_Satisfaction_15,ENG_STATE_15
1322,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,87.5,87.5,100,75,Engaged,Core (not fringe),JAY,,87.5,87.5,100,75,Engaged
1323,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,83.33333333,75,100,75,Engaged,Core (not fringe),JAY,,83.33333333,75,100,75,Engaged
1324,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,75,75,0,Unhappily Dedicated,Core (not fringe),JAY,,50,75,50,25,Unhappily Dedicated
1326,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,16.66666667,25,25,0,Disengaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1327,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,75,0,NA,Core (not fringe),JAY,,NA,NA,50,25,NA
1328,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),JAY,,83.33333333,100,75,75,Engaged
1329,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged,Core (not fringe),JAY,,33.33333333,50,25,25,Minimally Engaged
1331,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,100,100,100,100,Engaged
1332,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),JAY,,50,50,75,25,Minimally Engaged
1333,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,58.33333333,75,50,50,Unhappily Dedicated
1343,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,75,75,NA,Core (not fringe),JAY,,75,75,75,75,Engaged
1355,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged
1356,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,50,75,25,Minimally Engaged,Core (not fringe),JAY,,83.33333333,75,100,75,Engaged
1358,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,100,100,25,Moderately Engaged,Core (not fringe),JAY,,83.33333333,100,100,50,Engaged
1359,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,0,0,0,0,Disengaged,Core (not fringe),JAY,,58.33333333,50,75,50,Happily Detached
1362,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,62.5,62.5,50,75,Moderately Engaged,Core (not fringe),JAY,,75,75,75,75,Engaged
1363,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),JAY,,83.33333333,100,100,50,Engaged
1366,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,58.33333333,50,50,75,Happily Detached,Core (not fringe),JAY,,75,75,75,75,Engaged
1367,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,25,50,0,25,Minimally Engaged,Core (not fringe),JAY,,0,0,0,0,Disengaged
1368,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,54.16666667,37.5,75,50,Happily Detached,Core (not fringe),JAY,,75,75,75,75,Engaged
1372,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,75,25,NA,Core (not fringe),JAY,,37.5,37.5,50,25,Disengaged
1373,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,41.66666667,50,50,25,Minimally Engaged,Core (not fringe),JAY,,62.5,62.5,50,75,Moderately Engaged
1375,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,100,100,100,100,Engaged
1377,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),JAY,,95.83333333,87.5,100,100,Engaged
1379,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),JAY,,62.5,62.5,50,75,Moderately Engaged
1381,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged,Core (not fringe),JAY,,16.66666667,25,25,0,Disengaged
1386,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,58.33333333,50,75,50,Happily Detached,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1391,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,75,75,NA,Core (not fringe),JAY,,54.16666667,62.5,50,50,Unhappily Dedicated
1394,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged
1395,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,25,0,NA,Core (not fringe),JAY,,41.66666667,50,50,25,Minimally Engaged
1396,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,0,0,0,0,Disengaged,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged
1399,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,37.5,12.5,100,0,Minimally Engaged,Core (not fringe),JAY,,29.16666667,12.5,75,0,Disengaged
1400,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),JAY,,25,50,25,0,Minimally Engaged
1401,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),JAY,,75,75,75,75,Engaged
1402,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,16.66666667,25,25,0,Disengaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1403,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,87.5,87.5,100,75,Engaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1405,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,20.83333333,37.5,25,0,Disengaged,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged
1406,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,37.5,37.5,50,25,Disengaged,Core (not fringe),JAY,,41.66666667,50,25,50,Minimally Engaged
1408,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,58.33333333,75,75,25,Unhappily Dedicated,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1412,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged
1413,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,91.66666667,100,75,100,Engaged,Core (not fringe),JAY,,0,0,0,0,Disengaged
1414,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,91.66666667,100,75,100,Engaged,Core (not fringe),JAY,,NA,NA,75,75,NA
1416,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,70.83333333,62.5,100,50,Moderately Engaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1417,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,91.66666667,100,100,75,Engaged,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged
1418,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1420,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,100,100,100,100,Engaged
1423,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,58.33333333,50,50,75,Happily Detached,Core (not fringe),JAY,,70.83333333,62.5,50,100,Moderately Engaged
1425,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,16.66666667,25,0,25,Disengaged,Core (not fringe),JAY,,37.5,37.5,25,50,Disengaged
1428,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,25,25,25,25,Disengaged,Core (not fringe),JAY,,8.333333333,25,0,0,Disengaged
1430,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,54.16666667,62.5,50,50,Unhappily Dedicated,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged
1435,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,50,75,50,25,Unhappily Dedicated,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged
1439,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,54.16666667,62.5,50,50,Unhappily Dedicated,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged
1440,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1442,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,20.83333333,12.5,25,25,Disengaged,Core (not fringe),JAY,,33.33333333,25,25,50,Disengaged
1444,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,58.33333333,75,50,50,Unhappily Dedicated,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1445,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,0,0,0,0,Disengaged,Core (not fringe),JAY,,75,75,75,75,Engaged
1447,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,29.16666667,12.5,50,25,Disengaged,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged
1448,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged
1449,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged
1451,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),JAY,,NA,NA,NA,NA,NA
1453,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,100,50,50,Unhappily Dedicated,Core (not fringe),JAY,,29.16666667,62.5,0,25,Unhappily Dedicated
1461,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),JAY,,100,100,100,100,Engaged
1463,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,79.16666667,87.5,75,75,Engaged,Core (not fringe),JAY,,75,75,75,75,Engaged
1464,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,100,100,25,Moderately Engaged,Core (not fringe),JAY,,91.66666667,100,100,75,Engaged
1468,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,62.5,62.5,50,75,Moderately Engaged,Core (not fringe),JAY,,66.66666667,50,75,75,Happily Detached
1469,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),JAY,,75,75,75,75,Engaged
1470,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,83.33333333,100,75,75,Engaged,Core (not fringe),JAY,,83.33333333,100,75,75,Engaged
1472,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,75,50,NA,Core (not fringe),JAY,,25,25,25,25,Disengaged
1473,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),JAY,,100,100,100,100,Engaged
1474,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
1475,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,54.16666667,87.5,50,25,Unhappily Dedicated,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged
1476,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,66.66666667,50,75,75,Happily Detached
1478,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,NA,NA,50,75,NA,Core (not fringe),HERON,,70.83333333,87.5,75,50,Moderately Engaged
1479,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,75,50,75,100,Happily Detached,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1480,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,62.5,87.5,50,50,Unhappily Dedicated,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1483,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,0,0,0,0,Disengaged,Core (not fringe),HERON,,12.5,12.5,25,0,Disengaged
1486,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,8.333333333,25,0,0,Disengaged,Core (not fringe),HERON,,45.83333333,62.5,75,0,Unhappily Dedicated
1489,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,91.66666667,75,100,100,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1493,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,25,25,25,25,Disengaged,Core (not fringe),HERON,,37.5,37.5,50,25,Disengaged
1494,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
1497,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1499,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,79.16666667,87.5,75,75,Engaged
1500,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,16.66666667,25,25,0,Disengaged,Core (not fringe),HERON,,79.16666667,87.5,75,75,Engaged
1503,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,87.5,87.5,100,75,Engaged,Core (not fringe),HERON,,70.83333333,87.5,75,50,Moderately Engaged
1507,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated
1509,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),HERON,,50,75,25,50,Unhappily Dedicated
1516,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged
1519,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated
1525,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,33.33333333,50,25,25,Minimally Engaged,Core (not fringe),HERON,,0,0,0,0,Disengaged
1528,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,41.66666667,50,50,25,Minimally Engaged,Core (not fringe),HERON,,20.83333333,37.5,25,0,Disengaged
1531,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,91.66666667,100,100,75,Engaged
1532,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged
1534,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),HERON,,20.83333333,37.5,25,0,Disengaged
1536,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,66.66666667,50,75,75,Happily Detached,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1539,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,70.83333333,87.5,100,25,Moderately Engaged,Core (not fringe),HERON,,NA,NA,75,75,NA
1543,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,0,0,0,0,Disengaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1548,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged
1550,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1551,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1559,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
1560,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged,Core (not fringe),HERON,,54.16666667,62.5,50,50,Unhappily Dedicated
1561,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,54.16666667,62.5,50,50,Unhappily Dedicated,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged
1565,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,20.83333333,12.5,25,25,Disengaged,Core (not fringe),HERON,,25,25,25,25,Disengaged
1566,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,100,100,50,Engaged,Core (not fringe),HERON,,45.83333333,87.5,50,0,Unhappily Dedicated
1567,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,58.33333333,75,25,75,Unhappily Dedicated
1568,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,25,0,75,0,Disengaged,Core (not fringe),HERON,,29.16666667,12.5,50,25,Disengaged
1570,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,45.83333333,37.5,75,25,Minimally Engaged,Core (not fringe),HERON,,95.83333333,87.5,100,100,Engaged
1571,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,50,75,25,50,Unhappily Dedicated,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged
1572,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,100,50,Engaged,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged
1575,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,100,100,50,Engaged,Core (not fringe),HERON,,45.83333333,62.5,75,0,Unhappily Dedicated
1577,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,50,50,25,75,Minimally Engaged,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged
1580,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,33.33333333,25,50,25,Disengaged,Core (not fringe),HERON,,25,0,75,0,Disengaged
1583,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,79.16666667,87.5,75,75,Engaged
1585,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
1588,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1594,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1595,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated,Core (not fringe),HERON,,75,75,75,75,Engaged
1596,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,87.5,87.5,100,75,Engaged
1597,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1598,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
1599,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,50,75,75,Happily Detached,Core (not fringe),HERON,,75,75,75,75,Engaged
1600,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,50,75,75,Happily Detached,Core (not fringe),HERON,,4.166666667,12.5,0,0,Disengaged
1602,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,79.16666667,87.5,75,75,Engaged,Core (not fringe),HERON,,87.5,87.5,100,75,Engaged
1603,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
1605,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,33.33333333,25,50,25,Disengaged,Core (not fringe),HERON,,75,75,75,75,Engaged
1606,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,91.66666667,100,100,75,Engaged,Core (not fringe),HERON,,91.66666667,100,75,100,Engaged
1607,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,91.66666667,100,75,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
1608,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,79.16666667,62.5,100,75,Moderately Engaged,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged
1612,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,58.33333333,50,75,50,Happily Detached,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged
1614,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged,Core (not fringe),HERON,,79.16666667,87.5,100,50,Engaged
1615,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
1618,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,45.83333333,37.5,50,50,Minimally Engaged,Core (not fringe),HERON,,NA,NA,75,25,NA
1619,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,62.5,87.5,50,50,Unhappily Dedicated,Core (not fringe),HERON,,66.66666667,75,50,75,Moderately Engaged
1623,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,95.83333333,87.5,100,100,Engaged
1627,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),HERON,,50,50,50,50,Minimally Engaged
1629,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged
1630,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,75,50,75,Moderately Engaged,Core (not fringe),HERON,,29.16666667,37.5,25,25,Disengaged
1633,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,25,25,25,25,Disengaged,Core (not fringe),HERON,,54.16666667,62.5,50,50,Unhappily Dedicated
1635,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,45.83333333,37.5,75,25,Minimally Engaged,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged
1636,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1638,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
1641,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,45.83333333,62.5,25,50,Unhappily Dedicated,Core (not fringe),HERON,,12.5,37.5,0,0,Disengaged
1643,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,12.5,12.5,0,25,Disengaged,Core (not fringe),HERON,,41.66666667,50,50,25,Minimally Engaged
1650,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged
1651,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,25,25,0,50,Disengaged,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged
1652,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,87.5,62.5,100,100,Moderately Engaged,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged
1656,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,NA,NA,25,25,NA,Core (not fringe),HERON,,33.33333333,25,50,25,Disengaged
1660,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
1662,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,91.66666667,100,100,75,Engaged,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated
1663,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
1666,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),HERON,,4.166666667,12.5,0,0,Disengaged
1669,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,NA,NA,75,75,NA
